OUTCOME,METHOD,DATE,red_Name,blue_Name,red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,red_Stance,red_DOB,blue_Height,blue_Weight,blue_Reach,blue_Stance,blue_DOB,red_Elo,blue_Elo
Red,Submission ,2025-04-26,Jaqueline Amorim,Polyana Viana,3.05,1.72,1.78,1.33,5.33,396.05,52.55,63.06,28.57,0.0,2.99,2.65,0.82,2.26,1.85,78.86,40.67,53.83,33.33,38.89,63.0,115.0,,Nan,1995-06-24,65.0,115.0,67.0,Orthodox,1992-06-14,1144.09,913.12
Red,KO/TKO ,2025-04-26,Timmy Cuamba,Roberto Romero,3.07,4.33,1.5,0.5,0.0,126.5,43.81,62.64,27.27,0.0,4.93,8.07,0.0,1.0,0.0,74.0,47.74,43.19,0.0,66.67,,,,Nan,,68.0,145.0,70.0,Orthodox,2000-01-30,887.56,962.25
Red,KO/TKO ,2025-04-26,Joselyne Edwards,Chelsea Chandler,4.48,3.19,1.23,2.12,0.56,164.33,52.85,49.41,39.29,61.22,3.53,4.06,0.91,1.22,0.0,261.32,45.19,41.69,60.0,33.33,68.0,135.0,70.0,Orthodox,1995-09-29,,145.0,,Nan,1990-11-23,1005.44,1003.54
Red,Decision - Unanimous ,2025-04-12,Alexander Volkanovski,Diego Lopes,6.22,3.39,1.8,0.72,0.18,197.79,56.48,58.73,37.97,69.23,4.66,4.07,0.6,1.51,2.42,147.53,53.85,52.36,40.0,61.54,66.0,145.0,71.0,Orthodox,1988-09-29,71.0,145.0,72.0,Orthodox,1994-12-30,1510.39,1345.91
Blue,KO/TKO ,2025-04-12,Michael Chandler,Paddy Pimblett,3.59,3.47,0.88,1.06,0.18,135.52,51.53,39.0,33.33,57.14,4.94,3.71,0.91,2.43,2.13,223.02,53.16,40.78,25.0,52.94,68.0,155.0,71.0,Orthodox,1986-04-24,70.0,155.0,73.0,Orthodox,1995-01-03,1136.91,1283.49
Red,Decision - Unanimous ,2025-04-12,Yair Rodriguez,Patricio Freire,4.32,3.71,0.64,1.92,0.64,68.61,46.3,52.4,27.27,58.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,71.0,145.0,71.0,Orthodox,1992-10-06,65.0,145.0,65.0,Nan,1987-07-07,1310.87,1000.0
Blue,Submission ,2025-04-12,Bryce Mitchell,Jean Silva,2.31,1.53,3.39,1.04,1.43,481.15,59.64,60.45,43.33,33.33,4.95,3.8,0.57,1.71,0.0,13.13,57.27,60.63,100.0,78.57,70.0,145.0,70.0,Southpaw,1994-10-04,66.0,160.0,,Orthodox,1977-10-08,1204.26,1371.34
Blue,Submission ,2025-04-12,Bryce Mitchell,Jean Silva,2.31,1.53,3.39,1.04,1.43,481.15,59.64,60.45,43.33,33.33,4.95,3.8,0.57,1.71,0.0,13.13,57.27,60.63,100.0,78.57,70.0,145.0,70.0,Southpaw,1994-10-04,,145.0,,Nan,1996-12-13,1249.76,1325.84
Blue,KO/TKO ,2025-04-12,Nikita Krylov,Dominick Reyes,4.18,2.36,2.18,2.53,1.38,350.31,55.77,44.6,38.0,53.19,5.64,3.59,0.31,1.09,0.31,76.76,54.37,49.11,28.57,82.5,75.0,205.0,77.0,Orthodox,1992-03-07,76.0,205.0,77.0,Southpaw,1989-12-26,1291.93,1233.5
Blue,KO/TKO ,2025-04-12,Sean Woodson,Dan Ige,5.97,4.39,0.67,0.94,0.4,75.67,46.79,59.0,62.5,86.27,3.64,3.62,0.78,1.7,0.07,111.41,45.88,56.61,22.22,58.73,74.0,145.0,78.0,Orthodox,1992-06-07,67.0,145.0,71.0,Orthodox,1991-08-06,1258.84,1135.82
Red,Decision - Unanimous ,2025-04-12,Virna Jandiroba,Yan Xiaonan,2.12,2.73,2.29,0.76,1.66,365.07,38.46,57.29,34.62,73.91,4.99,3.44,0.92,1.41,0.0,77.04,45.27,60.46,73.33,63.04,63.0,115.0,64.0,Orthodox,1988-05-30,65.0,115.0,63.0,Orthodox,1989-06-16,1295.88,1295.39
Red,Decision - Unanimous ,2025-04-12,Chase Hooper,Jim Miller,4.9,3.41,2.12,1.31,2.29,293.35,50.22,38.02,29.55,52.94,3.0,3.52,1.52,1.56,1.69,191.87,42.14,56.81,44.44,49.44,73.0,145.0,74.0,Southpaw,1999-09-13,68.0,155.0,71.0,Southpaw,1983-08-30,1167.74,1177.77
Red,KO/TKO ,2025-04-12,Julian Erosa,Darren Elkins,6.05,6.21,1.78,1.52,0.89,131.62,47.95,49.27,50.0,58.62,3.4,3.22,2.86,1.08,1.08,333.55,38.4,51.98,34.74,56.14,73.0,145.0,74.0,Southpaw,1989-07-31,70.0,145.0,71.0,Orthodox,1984-05-16,1164.46,1162.51
Red,KO/TKO ,2025-04-12,Michal Oleksiejczuk,Sedriques Dumas,4.83,4.51,0.97,2.59,0.0,84.33,50.06,59.18,40.0,44.83,2.11,1.79,1.09,2.54,0.0,375.91,51.18,57.23,27.27,36.36,72.0,205.0,74.0,Southpaw,1995-02-22,,185.0,,Nan,1995-08-06,971.78,985.84
Blue,Decision - Split ,2025-04-12,Mitch Raposo,Sumudaerji,2.13,3.4,1.0,0.0,0.0,9.0,42.11,49.0,50.0,100.0,11.01,7.21,0.53,3.69,2.11,226.32,53.6,60.19,25.0,66.67,65.0,125.0,64.0,Switch,1998-10-16,68.0,125.0,72.0,Southpaw,1996-01-20,951.59,940.98
Blue,KO/TKO ,2025-04-12,Tresean Gore,Marco Tulio,3.0,5.88,3.46,1.15,1.73,165.36,54.55,47.42,75.0,83.33,9.46,1.96,0.0,0.0,0.0,127.17,53.7,60.0,0.0,100.0,72.0,185.0,75.0,Switch,1994-06-21,,185.0,,Nan,1994-08-30,1021.54,1046.83
Blue,Submission ,2025-04-12,Hailey Cowan,Nora Cornolle,4.2,5.07,2.0,0.0,0.0,290.0,42.0,26.92,25.0,100.0,3.41,2.18,0.39,2.36,0.0,156.3,53.72,62.27,11.11,50.0,,135.0,,Nan,1992-02-12,,135.0,,Nan,,942.0,1056.12
Red,Decision - Unanimous ,2025-04-05,Lerone Murphy,Josh Emmett,4.8,2.67,1.78,2.47,0.55,249.65,54.12,60.0,54.17,48.57,4.04,4.61,0.91,0.66,0.08,64.04,36.33,61.18,37.93,46.67,69.0,145.0,73.0,Orthodox,1991-07-22,66.0,145.0,70.0,Orthodox,1985-03-04,1365.42,1338.31
Red,Decision - Unanimous ,2025-04-05,Pat Sabatini,Joanderson Brito,1.94,1.47,3.97,0.99,1.99,584.53,59.69,48.85,44.44,50.0,2.77,2.84,2.82,0.85,1.13,378.81,48.2,44.07,66.67,72.73,68.0,145.0,70.0,Orthodox,1990-11-09,68.0,145.0,72.0,Orthodox,1995-02-11,1152.82,1180.16
Red,KO/TKO ,2025-04-05,ChangHo Lee,Cortavious Romious,5.6,4.53,2.0,2.0,0.0,108.0,70.59,33.98,22.22,60.0,1.13,3.53,4.0,2.0,0.0,373.0,37.78,29.33,66.67,0.0,,,,Nan,,,135.0,,Nan,1994-01-06,1058.0,939.0
Red,Decision - Unanimous ,2025-04-05,Brad Tavares,Gerald Meerschaert,3.43,3.31,0.74,1.12,0.0,124.85,43.42,55.07,26.67,80.65,3.1,3.45,2.01,1.92,1.52,193.86,45.59,53.36,35.21,42.86,73.0,185.0,74.0,Orthodox,1987-12-21,73.0,185.0,77.0,Southpaw,1987-12-18,1032.57,1089.27
Blue,KO/TKO ,2025-04-05,Luis Gurule,Ode Osbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.19,4.07,1.08,1.29,0.43,64.64,40.14,45.37,25.0,60.0,,125.0,,Nan,1993-11-16,67.0,125.0,73.0,Southpaw,1992-01-09,1000.0,894.83
Red,Decision - Split ,2025-04-05,Torrez Finney,Robert Valentin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.15,6.16,0.0,2.2,4.4,215.65,50.0,19.23,0.0,66.67,,185.0,,Nan,1998-10-24,,,,Nan,,1000.0,942.0
Blue,Submission ,2025-04-05,Diana Belbita,Dione Barbosa,7.44,7.46,1.03,2.68,0.0,83.99,42.6,51.78,62.5,65.79,2.0,2.77,1.5,1.5,1.0,140.0,48.78,65.98,23.08,50.0,67.0,125.0,68.0,Orthodox,1996-06-26,,125.0,,Nan,1992-05-08,872.09,1010.98
Blue,TKO - Doctor's Stoppage ,2025-04-05,Daniel Frunza,Rhys McKee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,4.8,7.85,0.0,3.12,0.0,130.22,45.65,42.99,0.0,41.18,,170.0,,Nan,1994-04-13,74.0,170.0,78.0,Orthodox,1995-09-10,1000.0,829.45
Blue,Decision - Unanimous ,2025-04-05,Istela Nunes,Loma Lookboonmee,5.02,4.84,0.0,3.19,0.0,5.98,45.76,60.0,0.0,50.0,4.1,2.48,1.9,1.22,0.14,132.21,57.69,53.23,50.0,72.73,64.0,115.0,66.0,Orthodox,1992-07-23,61.0,115.0,61.0,Orthodox,1996-01-18,809.05,1155.15
